model,map_type,normalised,use_other,content_normalised,reference,checkpoint,depth_bin,mean,se_across,n_datasets,mean_pooled,se_pooled,n_obs
GeneralSheaf,,True,True,False,topological,epoch-1,middle,0.4718986735683159,0.048298472875552376,8,0.49984673658620715,0.0103125597637839,190
GeneralSheaf,,True,True,False,topological,epoch-15,first,0.45097107769180045,0.03801522406812406,10,0.4509710776918005,0.011728766157167728,100
GeneralSheaf,,True,True,False,topological,epoch-15,last,0.49136364970957586,0.03793470136216416,10,0.4913636497095758,0.011959613971162084,100
GeneralSheaf,,True,True,False,topological,epoch-15,middle,0.5145711252929522,0.042843582163674954,8,0.5238965717337987,0.009805930611242904,190
GeneralSheaf,,True,True,False,topological,epoch-200,first,0.4474653333684414,0.033828718209090426,10,0.44746533336844135,0.010586285190383906,100
GeneralSheaf,,True,True,False,topological,epoch-200,last,0.46585671882427804,0.041966761477403886,10,0.46585671882427804,0.01302401733280218,100
GeneralSheaf,,True,True,False,topological,epoch-200,middle,0.5064197217854084,0.04206917540507422,8,0.5143844775384371,0.009535704818097544,190
GeneralSheaf,,True,True,False,topological,epoch-5,first,0.4493622517783587,0.03747655590972629,10,0.44936225177835865,0.011725774888164684,100
GeneralSheaf,,True,True,False,topological,epoch-5,last,0.4692098993371542,0.03362874261006029,10,0.46920989933715423,0.010732171040242376,100
GeneralSheaf,,True,True,False,topological,epoch-5,middle,0.48293390042144974,0.04284472331582078,8,0.5079826803222451,0.009799597708120004,190
GeneralSheaf,,True,True,False,topological,epoch-50,first,0.45227911332319043,0.038020825812729,10,0.4522791133231905,0.011819857520251097,100
GeneralSheaf,,True,True,False,topological,epoch-50,last,0.4701657159642904,0.039987276128226584,10,0.4701657159642904,0.01242051513900432,100
GeneralSheaf,,True,True,False,topological,epoch-50,middle,0.5002663326467702,0.04237102652223913,8,0.5094604866966921,0.009709900599450412,190
GeneralSheaf,,True,True,False,topological,last,first,0.45099883648176925,0.03453117782110154,10,0.45099883648176925,0.010875798836449405,100
GeneralSheaf,,True,True,False,topological,last,last,0.47628802821838595,0.04308986746136018,10,0.4762880282183859,0.013367383610253756,100
GeneralSheaf,,True,True,False,topological,last,middle,0.5051865724442023,0.041501586659856766,8,0.5134882956164284,0.009409165480757747,190
GeneralSheaf,,True,True,False,zero,epoch-0,first,0.17155004644563063,0.14323102458476494,10,0.17155004644563066,0.045209671295887176,100
GeneralSheaf,,True,True,False,zero,epoch-0,last,1.2032559401878964,1.1281894876463694,10,1.2032559401878962,0.345809918591083,100
GeneralSheaf,,True,True,False,zero,epoch-0,middle,0.6501368389489063,0.5967153488735951,8,0.5868469072204537,0.11570998639927448,190
GeneralSheaf,,True,True,False,zero,epoch-1,first,0.18778946059502533,0.1447683030532344,10,0.1877894605950253,0.04523945676255616,100
GeneralSheaf,,True,True,False,zero,epoch-1,last,1.2485206924513552,1.1281218095359598,10,1.2485206924513552,0.3465637051080344,100
GeneralSheaf,,True,True,False,zero,epoch-1,middle,0.7346992875328243,0.6475209576876879,8,0.6827721180846587,0.12524693983481722,190
GeneralSheaf,,True,True,False,zero,epoch-15,first,0.9327379455567831,0.5396704120831894,10,0.932737945556783,0.17272945520612548,100
GeneralSheaf,,True,True,False,zero,epoch-15,last,2.942614285084373,1.6154960786333288,10,2.942614285084373,0.5018824782296067,100
GeneralSheaf,,True,True,False,zero,epoch-15,middle,2.45773370999257,1.2590241817995185,8,2.3370848593848565,0.23229582379710062,190
GeneralSheaf,,True,True,False,zero,epoch-200,first,0.8749924119807961,0.6715243813708773,10,0.8749924119807961,0.20794733565637635,100
GeneralSheaf,,True,True,False,zero,epoch-200,last,4.179201645056429,2.1323312108651016,10,4.179201645056429,0.6955311740530086,100
GeneralSheaf,,True,True,False,zero,epoch-200,middle,2.5479347981100635,1.593068641260402,8,2.5158563206197435,0.3006959227688405,190
GeneralSheaf,,True,True,False,zero,epoch-5,first,0.5301504590955461,0.3309327091808563,10,0.5301504590955463,0.10961258498651265,100
GeneralSheaf,,True,True,False,zero,epoch-5,last,1.7846915476979563,1.0718729100846818,10,1.7846915476979563,0.3311676370784041,100
GeneralSheaf,,True,True,False,zero,epoch-5,middle,1.5369705369726425,0.9075594561754468,8,1.4511024356015851,0.17209237263907878,190
GeneralSheaf,,True,True,False,zero,epoch-50,first,1.0273100590947495,0.6575958510908392,10,1.0273100590947497,0.20978895247870477,100
GeneralSheaf,,True,True,False,zero,epoch-50,last,3.9219119686713144,1.8487135619983057,10,3.921911968671314,0.5950146002956938,100
GeneralSheaf,,True,True,False,zero,epoch-50,middle,2.696517412581313,1.3883766627017802,8,2.6115943931737005,0.26826265502330005,190
GeneralSheaf,,True,True,False,zero,last,first,0.9384666315842887,0.7054339719111015,10,0.9384666315842887,0.2174018690620347,100
GeneralSheaf,,True,True,False,zero,last,last,4.005782606971038,1.8983053176656701,10,4.005782606971038,0.6204627269140609,100
GeneralSheaf,,True,True,False,zero,last,middle,2.9680498660837844,1.894573621052766,8,2.9411026991917573,0.35891902007264564,190
JointSheafParams,identity,False,False,False,topological,epoch-0,first,0.5809475318782892,0.046483023471297784,10,0.5809475318782892,0.014015158906870738,100
JointSheafParams,identity,False,False,False,topological,epoch-0,last,0.44785881899239516,0.05257863036799286,10,0.4478588189923951,0.015941962074668817,100
JointSheafParams,identity,False,False,False,topological,epoch-0,middle,0.4439284535079626,0.05750831926029832,8,0.4668743743183505,0.012677494757529648,190
JointSheafParams,identity,False,False,False,topological,epoch-1,first,0.5809475318782892,0.046483023471297784,10,0.5809475318782892,0.014015158906870738,100
JointSheafParams,identity,False,False,False,topological,epoch-1,last,0.4421431248194286,0.0534053537674291,10,0.4421431248194285,0.0161950212519286,100
JointSheafParams,identity,False,False,False,topological,epoch-1,middle,0.44264929229634287,0.05636217888679509,8,0.46503966848471806,0.012461298708297187,190
